Power,Velocity,beam D,layer thickness,defect_label,material
285.0,960,100.0,70.0,0.0,IN718
100.0,200,100.0,70.0,0.0,IN718
100.0,400,100.0,70.0,0.0,IN718
150.0,400,100.0,70.0,0.0,IN718
150.0,600,100.0,70.0,0.0,IN718
150.0,800,100.0,70.0,0.0,IN718
200.0,600,100.0,70.0,0.0,IN718
200.0,800,100.0,70.0,0.0,IN718
200.0,1000,100.0,70.0,0.0,IN718
250.0,600,100.0,70.0,0.0,IN718
250.0,800,100.0,70.0,0.0,IN718
250.0,1000,100.0,70.0,0.0,IN718
300.0,600,100.0,70.0,0.0,IN718
370.0,1000,100.0,70.0,0.0,IN718
250.0,600,100.0,70.0,0.0,IN718
100.0,400,100.0,70.0,0.0,IN718
200.0,950,100.0,70.0,0.0,IN718
240.0,800,100.0,70.0,0.0,IN718
280.0,950,100.0,70.0,0.0,IN718
200.0,1000,74.0,40.0,0.0,IN718
250.0,1500,74.0,40.0,0.0,IN718
180.0,1000,50.0,25.0,0.0,IN718
250.0,600,100.0,70.0,0.0,IN718
100.0,400,100.0,70.0,0.0,IN718
180.0,800,100.0,70.0,0.0,IN718
200.0,950,100.0,70.0,0.0,IN718
210.0,1000,100.0,70.0,0.0,IN718
240.0,800,100.0,70.0,0.0,IN718
125.0,400,100.0,70.0,0.0,IN718
280.0,950,100.0,70.0,0.0,IN718
250.0,1100,80.0,60.0,0.0,IN718
285.0,960,80.0,60.0,0.0,IN718
200.0,1000,74.0,40.0,0.0,IN718
250.0,1500,74.0,40.0,0.0,IN718
180.0,1000,50.0,25.0,0.0,IN718
100.0,600,100.0,70.0,1.0,IN718
100.0,800,100.0,70.0,1.0,IN718
100.0,1000,100.0,70.0,1.0,IN718
150.0,1000,100.0,70.0,1.0,IN718
150.0,1200,100.0,70.0,1.0,IN718
150.0,1000,100.0,70.0,1.0,IN718
180.0,400,700.0,100.0,1.0,IN718
180.0,600,700.0,100.0,1.0,IN718
100.0,950,100.0,70.0,1.0,IN718
110.0,1000,100.0,70.0,1.0,IN718
140.0,950,100.0,70.0,1.0,IN718
150.0,1000,100.0,70.0,1.0,IN718
142.0,960,80.0,60.0,1.0,IN718
180.0,400,700.0,100.0,1.0,IN718
180.0,600,700.0,100.0,1.0,IN718
200.0,1200,100.0,70.0,2.0,IN718
250.0,1200,100.0,70.0,2.0,IN718
250.0,1400,100.0,70.0,2.0,IN718
300.0,800,100.0,70.0,2.0,IN718
300.0,1000,100.0,70.0,2.0,IN718
300.0,1200,100.0,70.0,2.0,IN718
300.0,1400,100.0,70.0,2.0,IN718
370.0,1200,100.0,70.0,2.0,IN718
370.0,1400,100.0,70.0,2.0,IN718
230.0,1200,100.0,70.0,2.0,IN718
300.0,1000,100.0,70.0,2.0,IN718
230.0,1200,100.0,70.0,2.0,IN718
300.0,1000,100.0,70.0,2.0,IN718
150.0,200,100.0,70.0,3.0,IN718
200.0,200,100.0,70.0,3.0,IN718
200.0,400,100.0,70.0,3.0,IN718
250.0,200,100.0,70.0,3.0,IN718
250.0,400,100.0,70.0,3.0,IN718
300.0,400,100.0,70.0,3.0,IN718
370.0,400,100.0,70.0,3.0,IN718
370.0,800,100.0,70.0,3.0,IN718
150.0,200,100.0,70.0,3.0,IN718
250.0,660,80.0,60.0,3.0,IN718
285.0,600,80.0,60.0,3.0,IN718
200.0,100,74.0,40.0,3.0,IN718
200.0,250,74.0,40.0,3.0,IN718
200.0,500,74.0,40.0,3.0,IN718
250.0,100,74.0,40.0,3.0,IN718
250.0,250,74.0,40.0,3.0,IN718
250.0,500,74.0,40.0,3.0,IN718
250.0,1000,74.0,40.0,3.0,IN718
285.0,960,74.0,40.0,3.0,IN718
300.0,100,74.0,40.0,3.0,IN718
300.0,150,74.0,40.0,3.0,IN718
300.0,250,74.0,40.0,3.0,IN718
180.0,200,50.0,25.0,3.0,IN718
180.0,800,50.0,25.0,3.0,IN718
120.0,200,100.0,70.0,3.0,IN718
150.0,200,100.0,70.0,3.0,IN718
320.0,400,100.0,70.0,3.0,IN718
170.0,400,100.0,70.0,3.0,IN718
140.0,600,100.0,70.0,3.0,IN718
250.0,660,80.0,60.0,3.0,IN718
285.0,600,80.0,60.0,3.0,IN718
200.0,100,74.0,40.0,3.0,IN718
200.0,250,74.0,40.0,3.0,IN718
200.0,500,74.0,40.0,3.0,IN718
250.0,100,74.0,40.0,3.0,IN718
250.0,250,74.0,40.0,3.0,IN718
250.0,500,74.0,40.0,3.0,IN718
250.0,1000,74.0,40.0,3.0,IN718
285.0,960,74.0,40.0,3.0,IN718
300.0,100,74.0,40.0,3.0,IN718
300.0,150,74.0,40.0,3.0,IN718
300.0,250,74.0,40.0,3.0,IN718
180.0,200,50.0,25.0,3.0,IN718
180.0,800,50.0,25.0,3.0,IN718
